slug;rubrik;prio;quelle;typ;cluster_vorschlag;rubrik_final;slug_final
360-grad-feedback-software;360-Grad-Feedback Software;1;capterra;software;Personal & HR;360-Grad-Feedback Software;360-grad-feedback-software
3d-architektur-software;3D Architektur Software;1;capterra;software;Bau & Handwerk;3D Architektur Software;3d-architektur-software
3d-cad-software;3D-CAD-Software;1;capterra;software;Design & Kreativ;3D-CAD-Software;3d-cad-software
3d-rendering-software;3D-Rendering-Software;1;capterra;software;Design & Kreativ;3D-Rendering-Software;3d-rendering-software
a-b-testing;A B Testing;3;omr;software;IT, Security & Infrastruktur;A/B-Testing;a-b-testing
a-b-testing-tools;A/B Testing Tools;2;capterra;software;IT, Security & Infrastruktur;A/B Testing Tools;a-b-testing-tools
abfallmanagement-software;Abfallmanagement Software;1;capterra;software;Weitere Branchen;Abfallmanagement Software;abfallmanagement-software
abrechnungssoftware-fuer-kanzleien-und-rechtsanwaelte;Abrechnungssoftware für Kanzleien und Rechtsanwälte;1;capterra;software;Recht & Kanzlei;Abrechnungssoftware für Kanzleien und Rechtsanwälte;abrechnungssoftware-fuer-kanzleien-und-rechtsanwaelte
absatzplanung-software;Absatzplanung Software;1;capterra;software;Daten & Analytics;Absatzplanung Software;absatzplanung-software
abschleppdienst-software;Abschleppdienst Software;1;capterra;software;Mobilität & Fahrzeuge;Abschleppdienst Software;abschleppdienst-software
abwesenheitsmanagement-software;Abwesenheitsmanagement-Software;1;beide;software;Personal & HR;Abwesenheitsmanagement-Software;abwesenheitsmanagement-software
account-based-marketing-tools;Account Based Marketing Tools;2;capterra;software;Vertrieb & CRM;Account Based Marketing Tools;account-based-marketing-tools
accounts-payable-software;Accounts Payable Software;1;capterra;software;Weitere Software;Accounts Payable Software;accounts-payable-software
ad-network;Ad Network;3;omr;software;Marketing & SEO;Werbenetzwerke;werbenetzwerke
ad-server-software;Ad-Server Software;1;capterra;software;Marketing & SEO;Ad-Server Software;ad-server-software
advertising-agencies;Advertising Agencies;3;omr;dienstleister;;Advertising Agencies;advertising-agencies
advocacy-software;Advocacy Software;1;capterra;software;Non-Profit, Kirche & Verein;Advocacy Software;advocacy-software
affiliate-marketing-services;Affiliate Marketing Services;3;omr;dienstleister;;Affiliate Marketing Services;affiliate-marketing-services
affiliate-networks;Affiliate Networks;3;omr;software;Marketing & SEO;Affiliate-Netzwerke;affiliate-netzwerke
affiliate-platform;Affiliate Platform;2;omr;software;Marketing & SEO;Affiliate-Plattformen;affiliate-plattformen
affiliate-software;Affiliate Software;1;capterra;software;Marketing & SEO;Affiliate Software;affiliate-software
agency;Agency;3;omr;dienstleister;;Agency;agency
agentic-ai;Agentic AI;3;beide;software;KI & Automatisierung;Agentic AI;agentic-ai
agiles-projektmanagement-tools;Agiles Projektmanagement Tools;2;capterra;software;Projekte & Zusammenarbeit;Agiles Projektmanagement Tools;agiles-projektmanagement-tools
agrarsoftware;Agrarsoftware;1;capterra;software;Industrie, Agrar & Energie;Agrarsoftware;agrarsoftware
ai;AI;3;omr;software;Weitere Software;Künstliche Intelligenz;kuenstliche-intelligenz
ai-agent-builder;AI Agent Builder;2;capterra;software;KI & Automatisierung;AI Agent Builder;ai-agent-builder
ai-agent-builders;AI Agent Builders;2;omr;software;KI & Automatisierung;KI-Agenten-Baukästen;ki-agenten-baukaesten
ai-agents;AI Agents;3;omr;software;KI & Automatisierung;KI-Agenten;ki-agenten
ai-agents-for-business-operations;AI Agents For Business Operations;3;omr;software;KI & Automatisierung;KI-Agenten für Geschäftsprozesse;ki-agenten-fuer-geschaeftsprozesse
ai-agents-for-customer-support;AI Agents for Customer Support;3;capterra;software;KI & Automatisierung;AI Agents for Customer Support;ai-agents-for-customer-support
ai-agents-for-hr;AI Agents for HR;3;capterra;software;Personal & HR;AI Agents for HR;ai-agents-for-hr
ai-app-builder;AI App Builder;2;capterra;software;KI & Automatisierung;AI App Builder;ai-app-builder
ai-browser;AI Browser;3;omr;software;KI & Automatisierung;KI-Browser;ki-browser
ai-call-assistant;AI Call Assistant;3;omr;software;Kommunikation & Support;KI-Telefonassistenten;ki-telefonassistenten
ai-chatbots;AI Chatbots;3;omr;software;Kommunikation & Support;KI-Chatbots;ki-chatbots
ai-code-generation;AI Code Generation;3;omr;software;KI & Automatisierung;KI-Codegenerierung;ki-codegenerierung
ai-coding-assistants;AI Coding Assistants;3;omr;software;KI & Automatisierung;KI-Programmierassistenten;ki-programmierassistenten
ai-compliance;AI Compliance;3;omr;software;KI & Automatisierung;KI-Compliance;ki-compliance
ai-customer-support-agents;AI Customer Support Agents;3;omr;software;KI & Automatisierung;KI-Agenten für den Kundensupport;ki-agenten-fuer-den-kundensupport
ai-detection;AI Detection;3;omr;software;KI & Automatisierung;KI-Erkennung;ki-erkennung
ai-legal-assistant;AI Legal Assistant;3;beide;software;Recht & Kanzlei;AI Legal Assistant;ai-legal-assistant
ai-legal-workflow-automation;AI Legal Workflow Automation;3;capterra;software;Recht & Kanzlei;AI Legal Workflow Automation;ai-legal-workflow-automation
ai-meeting-assistants;AI Meeting Assistants;3;omr;software;Projekte & Zusammenarbeit;KI-Meeting-Assistenten;ki-meeting-assistenten
ai-model-hosting;AI Model Hosting;3;omr;software;KI & Automatisierung;KI-Modell-Hosting;ki-modell-hosting
ai-sales-assistant-software;AI Sales Assistant Software;1;beide;software;Vertrieb & CRM;AI Sales Assistant Software;ai-sales-assistant-software
ai-sales-development-representatives-sdrs;AI Sales Development Representatives (SDRs);3;capterra;software;Vertrieb & CRM;AI Sales Development Representatives (SDRs);ai-sales-development-representatives-sdrs
ai-sales-personalization;AI Sales Personalization;3;omr;software;Vertrieb & CRM;KI-Vertriebspersonalisierung;ki-vertriebspersonalisierung
ai-sales-roleplay;AI Sales Roleplay;3;omr;software;Vertrieb & CRM;KI-Verkaufstraining;ki-verkaufstraining
ai-sdr;AI SDR;3;omr;software;KI & Automatisierung;KI-Vertriebsassistenten;ki-vertriebsassistenten
ai-search-visibility;AI Search Visibility;3;capterra;software;KI & Automatisierung;AI Search Visibility;ai-search-visibility
ai-video-generation;AI Video Generation;3;omr;software;Design & Kreativ;KI-Videogenerierung;ki-videogenerierung
aiops-plattformen;AIOps-Plattformen;2;capterra;software;KI & Automatisierung;AIOps-Plattformen;aiops-plattformen
akkreditierung-software;Akkreditierung Software;1;capterra;software;Öffentlicher Sektor & Sicherheit;Akkreditierung Software;akkreditierung-software
all-in-one-marketingplattformen;All-in-One-Marketingplattformen;2;capterra;software;Marketing & SEO;All-in-One-Marketingplattformen;all-in-one-marketingplattformen
alm-tools;ALM Tools;2;capterra;software;IT, Security & Infrastruktur;ALM Tools;alm-tools
alumni-management-systeme;Alumni-Management Systeme;2;capterra;software;Bildung & Bildungsträger;Alumni-Management Systeme;alumni-management-systeme
amazon-marketing;Amazon Marketing;3;omr;software;Marketing & SEO;Amazon-Marketing;amazon-marketing
amazon-ppc;Amazon Ppc;3;omr;software;Marketing & SEO;Amazon-PPC;amazon-ppc
aml-software;AML Software;1;capterra;software;Finanzen & Buchhaltung;AML Software;aml-software
angebotserstellung-software;Angebotserstellung Software;1;capterra;software;Vertrieb & CRM;Angebotserstellung Software;angebotserstellung-software
angebotsmanagement-software;Angebotsmanagement Software;1;capterra;software;Vertrieb & CRM;Angebotsmanagement Software;angebotsmanagement-software
angebotssoftware-fuer-elektriker;Angebotssoftware für Elektriker;1;capterra;software;Bau & Handwerk;Angebotssoftware für Elektriker;angebotssoftware-fuer-elektriker
angebotssoftware-fuer-klempner;Angebotssoftware für Klempner;1;capterra;software;Bau & Handwerk;Angebotssoftware für Klempner;angebotssoftware-fuer-klempner
angebotssoftware-fuer-sanierung-und-umbau;Angebotssoftware für Sanierung und Umbau;1;capterra;software;Vertrieb & CRM;Angebotssoftware für Sanierung und Umbau;angebotssoftware-fuer-sanierung-und-umbau
animationssoftware;Animationssoftware;1;capterra;software;Design & Kreativ;Animationssoftware;animationssoftware
anlagegueterverwaltungssystem;Anlagegüterverwaltungssystem;2;capterra;software;Weitere Software;Anlagegüterverwaltungssystem;anlagegueterverwaltungssystem
anlagenverwaltung-software;Anlagenverwaltung Software;1;capterra;software;Produktion & Supply Chain;Anlagenverwaltung Software;anlagenverwaltung-software
anti-fraud-management-systeme;Anti-Fraud-Management-Systeme;2;capterra;software;Finanzen & Buchhaltung;Anti-Fraud-Management-Systeme;anti-fraud-management-systeme
anti-spam-software;Anti-Spam Software;1;capterra;software;IT, Security & Infrastruktur;Anti-Spam Software;anti-spam-software
antivirenprogramme;Antivirenprogramme;2;capterra;software;IT, Security & Infrastruktur;Antivirenprogramme;antivirenprogramme
antivirus;Antivirus;3;omr;software;IT, Security & Infrastruktur;Virenschutz;virenschutz
anwaltssoftware;Anwaltssoftware;1;capterra;software;Recht & Kanzlei;Anwaltssoftware;anwaltssoftware
anwesenheit-software;Anwesenheit Software;1;capterra;software;Personal & HR;Anwesenheit Software;anwesenheit-software
api-software;API Software;1;capterra;software;IT, Security & Infrastruktur;API Software;api-software
apm-software;APM Software;1;capterra;software;IT, Security & Infrastruktur;APM Software;apm-software
apothekensoftware;Apothekensoftware;1;capterra;software;Gesundheit & Pflege;Apothekensoftware;apothekensoftware
app-builder-software;App-Builder Software;1;capterra;software;IT, Security & Infrastruktur;App-Builder Software;app-builder-software
app-design-tools;App-Design Tools;2;capterra;software;Design & Kreativ;App-Design Tools;app-design-tools
app-development-agencies;App Development Agencies;2;omr;dienstleister;;App Development Agencies;app-development-agencies
aps-software;APS-Software;1;capterra;software;Produktion & Supply Chain;APS-Software;aps-software
arbeitsbewertungssysteme;Arbeitsbewertungssysteme;2;capterra;software;Personal & HR;Arbeitsbewertungssysteme;arbeitsbewertungssysteme
arbeitsmedizin-software;Arbeitsmedizin Software;1;capterra;software;Gesundheit & Pflege;Arbeitsmedizin Software;arbeitsmedizin-software
architektur-cad-programme;Architektur CAD Programme;2;capterra;software;Bau & Handwerk;Architektur CAD Programme;architektur-cad-programme
architektur-programme;Architektur Programme;2;capterra;software;Bau & Handwerk;Architektur Programme;architektur-programme
archivierungssoftware;Archivierungssoftware;1;capterra;software;IT, Security & Infrastruktur;Archivierungssoftware;archivierungssoftware
arzt-abrechnungssoftware;Arzt-Abrechnungssoftware;1;capterra;software;Gesundheit & Pflege;Arzt-Abrechnungssoftware;arzt-abrechnungssoftware
assessment-software;Assessment Software;1;capterra;software;Personal & HR;Assessment Software;assessment-software
asset-tracking-software;Asset Tracking Software;1;capterra;software;Produktion & Supply Chain;Asset Tracking Software;asset-tracking-software
audience-response-systeme;Audience Response Systeme;2;capterra;software;Lernen & Events;Audience Response Systeme;audience-response-systeme
audio-plugins;Audio Plugins;2;omr;software;Design & Kreativ;Audio-Plugins;audio-plugins
audiobearbeitungssoftware;Audiobearbeitungssoftware;1;beide;software;Design & Kreativ;Audiobearbeitungssoftware;audiobearbeitungssoftware
audiokonferenzsoftware;Audiokonferenzsoftware;1;capterra;software;Kommunikation & Support;Audiokonferenzsoftware;audiokonferenzsoftware
audit-management;Audit Management;2;omr;software;IT, Security & Infrastruktur;Auditmanagement;auditmanagement
audit-software;Audit Software;1;capterra;software;IT, Security & Infrastruktur;Audit Software;audit-software
aufgabenmanagement-tools;Aufgabenmanagement Tools;2;beide;software;Projekte & Zusammenarbeit;Aufgabenmanagement Tools;aufgabenmanagement-tools
auftragsbearbeitung-software;Auftragsbearbeitung Software;1;capterra;software;Vertrieb & CRM;Auftragsbearbeitung Software;auftragsbearbeitung-software
auftragserfassung-software;Auftragserfassung Software;1;capterra;software;Vertrieb & CRM;Auftragserfassung Software;auftragserfassung-software
auftragsmanagement-software;Auftragsmanagement Software;1;capterra;software;Vertrieb & CRM;Auftragsmanagement Software;auftragsmanagement-software
auftragsverwaltungssoftware;Auftragsverwaltungssoftware;1;beide;software;Vertrieb & CRM;Auftragsverwaltungssoftware;auftragsverwaltungssoftware
augmented-reality-software;Augmented Reality Software;1;capterra;software;IT, Security & Infrastruktur;Augmented Reality Software;augmented-reality-software
auktionsplattformen;Auktionsplattformen;2;capterra;software;E-Commerce & Handel;Auktionsplattformen;auktionsplattformen
ausgabenmanagement-software;Ausgabenmanagement-Software;1;beide;software;Finanzen & Buchhaltung;Ausgabenmanagement-Software;ausgabenmanagement-software
ausschreibungsprogramme;Ausschreibungsprogramme;2;capterra;software;Weitere Software;Ausschreibungsprogramme;ausschreibungsprogramme
authentifizierungs-apps;Authentifizierungs-Apps;2;capterra;software;Produktion & Supply Chain;Authentifizierungs-Apps;authentifizierungs-apps
autohandel-software;Autohandel Software;1;capterra;software;Mobilität & Fahrzeuge;Autohandel Software;autohandel-software
automated-testing-tools;Automated Testing Tools;2;capterra;software;IT, Security & Infrastruktur;Automated Testing Tools;automated-testing-tools
autorensysteme;Autorensysteme;2;beide;software;Lernen & Events;Autorensysteme;autorensysteme
autovermietung-software;Autovermietung-Software;1;capterra;software;Mobilität & Fahrzeuge;Autovermietung-Software;autovermietung-software
ava-software;AVA-Software;1;capterra;software;Bau & Handwerk;AVA-Software;ava-software
b2b-e-commerce-platforms-shop-systems;B2B E Commerce Platforms Shop Systems;2;omr;software;E-Commerce & Handel;B2B-Shopsysteme;b2b-shopsysteme
b2b-e-commerce-plattformen;B2B-E-Commerce-Plattformen;2;capterra;software;E-Commerce & Handel;B2B-E-Commerce-Plattformen;b2b-e-commerce-plattformen
backlink;Backlink;3;omr;software;Marketing & SEO;Backlinks;backlinks
backlink-analysis;Backlink Analysis;3;omr;software;Marketing & SEO;Backlink-Analyse;backlink-analyse
backlink-check;Backlink Check;3;omr;software;Marketing & SEO;Backlink-Check;backlink-check
backlink-monitoring;Backlink Monitoring;3;omr;software;Marketing & SEO;Backlink-Überwachung;backlink-ueberwachung
backlink-tools;Backlink-Tools;2;capterra;software;Marketing & SEO;Backlink-Tools;backlink-tools
backup-software;Backup-Software;1;capterra;software;IT, Security & Infrastruktur;Backup-Software;backup-software
baeckereisoftware;Bäckereisoftware;1;capterra;software;Industrie, Agrar & Energie;Bäckereisoftware;baeckereisoftware
banking-apps;Banking-Apps;2;capterra;software;Weitere Branchen;Banking-Apps;banking-apps
banking-software;Banking Software;1;capterra;software;Weitere Branchen;Banking Software;banking-software
barcode-software;Barcode Software;1;capterra;software;Produktion & Supply Chain;Barcode Software;barcode-software
barrierefreie-software;Barrierefreie Software;1;capterra;software;Website & Content;Barrierefreie Software;barrierefreie-software
bau-projektmanagement;Bau Projektmanagement;3;omr;software;Bau & Handwerk;Bau-Projektmanagement;bau-projektmanagement
baukalkulation-software;Baukalkulation Software;1;capterra;software;Bau & Handwerk;Baukalkulation Software;baukalkulation-software
baumanagement-software;Baumanagement Software;1;capterra;software;Bau & Handwerk;Baumanagement Software;baumanagement-software
baumkataster-software;Baumkataster-Software;1;capterra;software;Bau & Handwerk;Baumkataster-Software;baumkataster-software
bauplanungssoftware;Bauplanungssoftware;1;capterra;software;Bau & Handwerk;Bauplanungssoftware;bauplanungssoftware
bausoftware-fuer-oeffentliche-bauarbeiten;Bausoftware für öffentliche Bauarbeiten;1;capterra;software;Bau & Handwerk;Bausoftware für öffentliche Bauarbeiten;bausoftware-fuer-oeffentliche-bauarbeiten
bcm-software;BCM Software;1;capterra;software;Weitere Software;BCM Software;bcm-software
bedarfsplanung-software;Bedarfsplanung Software;1;capterra;software;Daten & Analytics;Bedarfsplanung Software;bedarfsplanung-software
befragungssoftware;Befragungssoftware;1;capterra;software;Marketing & SEO;Befragungssoftware;befragungssoftware
bekleidungsmanagement-software;Bekleidungsmanagement Software;1;capterra;software;Weitere Branchen;Bekleidungsmanagement Software;bekleidungsmanagement-software
bergbausoftware;Bergbausoftware;1;capterra;software;Bau & Handwerk;Bergbausoftware;bergbausoftware
beschaffungs-und-sourcing-software;Beschaffungs- und Sourcing Software;1;capterra;software;Produktion & Supply Chain;Beschaffungs- und Sourcing Software;beschaffungs-und-sourcing-software
beschwerdemanagement-software;Beschwerdemanagement Software;1;capterra;software;Kommunikation & Support;Beschwerdemanagement Software;beschwerdemanagement-software
bestandsverwaltungssoftware-fuer-die-fertigung;Bestandsverwaltungssoftware für die Fertigung;1;capterra;software;IT, Security & Infrastruktur;Bestandsverwaltungssoftware für die Fertigung;bestandsverwaltungssoftware-fuer-die-fertigung
bestattersoftware;Bestattersoftware;1;capterra;software;Öffentlicher Sektor & Sicherheit;Bestattersoftware;bestattersoftware
besuchermanagement-software;Besuchermanagement Software;1;capterra;software;Öffentlicher Sektor & Sicherheit;Besuchermanagement Software;besuchermanagement-software
betriebskostenabrechnung-software;Betriebskostenabrechnung Software;1;capterra;software;Immobilien;Betriebskostenabrechnung Software;betriebskostenabrechnung-software
betriebssysteme;Betriebssysteme;2;capterra;software;IT, Security & Infrastruktur;Betriebssysteme;betriebssysteme
betriebswirtschaftliche-software;Betriebswirtschaftliche Software;1;capterra;software;Weitere Software;Betriebswirtschaftliche Software;betriebswirtschaftliche-software
bewerbermanagementsysteme;Bewerbermanagementsysteme;2;beide;software;Marketing & SEO;Bewerbermanagementsysteme;bewerbermanagementsysteme
bewo-software;BeWo Software;1;capterra;software;Weitere Software;BeWo Software;bewo-software
bi-tools;BI-Tools;2;capterra;software;Daten & Analytics;BI-Tools;bi-tools
bibliothekssoftware;Bibliothekssoftware;1;capterra;software;Bildung & Bildungsträger;Bibliothekssoftware;bibliothekssoftware
big-data-tools;Big Data Tools;2;capterra;software;Daten & Analytics;Big Data Tools;big-data-tools
bilanzsoftware;Bilanzsoftware;1;capterra;software;Finanzen & Buchhaltung;Bilanzsoftware;bilanzsoftware
bilderkennungssoftware;Bilderkennungssoftware;1;capterra;software;Design & Kreativ;Bilderkennungssoftware;bilderkennungssoftware
bill-of-materials-software;Bill of Materials Software;1;capterra;software;Produktion & Supply Chain;Bill of Materials Software;bill-of-materials-software
